country_code,SpatialDimType,year,value,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3
21,UNREGION,2019,0.00431,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE40-44,ENVCAUSE,ENVCAUSE_ENVCAUSE118
UNSDG_EUROPENORTHERNAMR,UNSDGREGION,2019,2.22659,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE60-64,ENVCAUSE,ENVCAUSE_ENVCAUSE113
MAR,COUNTRY,2019,2.69057,SEX,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,
AMR,REGION,2019,0.23178,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE80+,ENVCAUSE,ENVCAUSE_ENVCAUSE068
150,UNREGION,2019,0.00445,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE35-39,ENVCAUSE,ENVCAUSE_ENVCAUSE068
UNSDG_WESTERNASIANORTHERNAFR,UNSDGREGION,2019,0.9104,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE65-69,ENVCAUSE,ENVCAUSE_ENVCAUSE114
AFR,REGION,2019,0.4405,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE55-59,ENVCAUSE,ENVCAUSE_ENVCAUSE114
UNSDG_WESTERNASIANORTHERNAFR,UNSDGREGION,2019,2.47559,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE60-64,ENVCAUSE,ENVCAUSE_ENVCAUSE113
35,UNREGION,2019,0.02955,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE25-29,ENVCAUSE,ENVCAUSE_ENVCAUSE114
21,UNREGION,2019,0.76173,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE50-54,ENVCAUSE,ENVCAUSE_ENVCAUSE113
150,UNREGION,2019,0.03831,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE35-39,ENVCAUSE,ENVCAUSE_ENVCAUSE114
LUX,COUNTRY,2019,1.6929,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,
202,UNREGION,2019,0.06352,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE30-34,ENVCAUSE,ENVCAUSE_ENVCAUSE114
UNSDG_LAC,UNSDGREGION,2019,0.00803,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE35-39,ENVCAUSE,ENVCAUSE_ENVCAUSE118
21,UNREGION,2019,0.01087,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE30-34,ENVCAUSE,ENVCAUSE_ENVCAUSE114
NLD,COUNTRY,2019,33.80143,SEX,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE000,,
35,UNREGION,2019,2.09302,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE75-79,ENVCAUSE,ENVCAUSE_ENVCAUSE114
EMR,REGION,2019,0.20971,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE50-54,ENVCAUSE,ENVCAUSE_ENVCAUSE118
