country_code,SpatialDimType,year,value,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3
LMI_SEAR,WHOINCOMEREGION,2012,53.26192,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
BRB,COUNTRY,2015,10.56466,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
EST,COUNTRY,2011,7.65399,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
FSM,COUNTRY,2019,7.78563,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
NER,COUNTRY,2018,50.74433,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
EUR,REGION,2010,19.15736,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
YEM,COUNTRY,2019,43.03558,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
FIN,COUNTRY,2018,6.6057,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
ZWE,COUNTRY,2017,14.54769,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
FRA,COUNTRY,2012,15.59317,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
MLI,COUNTRY,2019,34.75342,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
BWA,COUNTRY,2011,13.4164,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
PSE,COUNTRY,2015,27.79475,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
NER,COUNTRY,2018,51.35212,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
OMN,COUNTRY,2015,35.84203,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
BGR,COUNTRY,2012,23.98342,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
202,UNREGION,2017,37.99504,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
ZWE,COUNTRY,2012,14.64714,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
UZB,COUNTRY,2019,38.18974,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
IND,COUNTRY,2012,55.71659,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
BFA,COUNTRY,2013,47.80673,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
PRY,COUNTRY,2017,16.60977,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
TGO,COUNTRY,2016,41.23068,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
BRN,COUNTRY,2019,6.76132,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
TLS,COUNTRY,2018,20.93629,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
THA,COUNTRY,2012,25.34938,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
MDG,COUNTRY,2010,17.2456,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
LMI_SEAR,WHOINCOMEREGION,2016,49.00315,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
ROU,COUNTRY,2012,18.28861,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
LBN,COUNTRY,2019,24.614,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
EUR,REGION,2011,19.27103,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
BWA,COUNTRY,2018,12.62177,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
AFR,REGION,2010,33.22535,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
PNG,COUNTRY,2014,8.79213,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
BTN,COUNTRY,2018,29.10733,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
GBR,COUNTRY,2014,10.05854,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
BHR,COUNTRY,2018,59.38321,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
KOR,COUNTRY,2019,24.21615,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
VUT,COUNTRY,2017,8.61743,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
GAB,COUNTRY,2018,22.7864,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
MEX,COUNTRY,2018,17.38528,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
GLOBAL,GLOBAL,2011,32.33062,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
FSM,COUNTRY,2011,7.31513,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
MYS,COUNTRY,2019,25.31689,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
CZE,COUNTRY,2012,19.58363,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
SLB,COUNTRY,2010,7.41903,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
